-5.0,0.565,5.1,3.94,3.51,0.225,1.19
-5.0,0.53,4.78,3.75,3.15,0.3,3.69
-2.3,0.568,4.78,3.99,3.17,0.3,3.76
-2.3,0.562,5.14,4.95,3.17,0.125,0.28
-2.3,0.53,4.34,2.81,3.15,0.225,1.01
-2.3,0.6,4.34,4.23,2.73,0.175,0.36
-5.0,0.6,4.78,4.24,3.15,0.225,1.13
0.0,0.565,4.77,3.99,3.15,0.3,4.14
-5.0,0.565,4.77,3.99,3.15,0.175,0.4
-2.2,0.546,4.78,4.13,3.07,0.175,0.55
-5.0,0.565,5.1,3.94,3.51,0.275,2.59
-2.3,0.562,5.14,4.95,3.17,0.3,4.09
-2.2,0.546,4.78,4.13,3.07,0.275,2.49
-2.4,0.574,4.36,3.96,2.76,0.35,8.03
-5.0,0.565,5.1,3.94,3.51,0.425,33.23
0.0,0.53,4.78,3.75,3.15,0.35,9.45
-2.3,0.53,4.76,3.68,3.16,0.325,4.41
-2.3,0.6,4.34,4.23,2.73,0.3,4.15
-2.3,0.53,4.34,2.81,3.15,0.275,2.05
-2.3,0.568,4.78,3.99,3.17,0.45,49.49
-2.3,0.568,4.78,3.99,3.17,0.2,0.78
-2.4,0.574,4.36,3.96,2.76,0.375,12.86
-2.3,0.565,4.78,5.35,2.76,0.175,0.56
0.0,0.53,4.78,3.75,3.15,0.15,0.32
-2.3,0.565,4.78,5.35,2.76,0.15,0.29
-2.3,0.562,5.14,4.95,3.17,0.25,2.23
-5.0,0.565,5.1,3.94,3.51,0.45,49.14
0.0,0.565,5.1,3.94,3.51,0.175,0.5
-2.3,0.53,5.11,3.69,3.51,0.125,0.08
-2.3,0.53,5.11,3.69,3.51,0.375,14.11
-5.0,0.565,5.1,3.94,3.51,0.4,20.91
