0.82,612.5,318.5,147.0,7.0,4.0,0.1,3.0,24.17,25.35
0.86,588.0,294.0,147.0,7.0,5.0,0.1,5.0,26.45,31.28
0.9,563.5,318.5,122.5,7.0,5.0,0.4,3.0,34.29,33.31
0.66,759.5,318.5,220.5,3.5,3.0,0.4,5.0,14.92,17.79
0.79,637.0,343.0,147.0,7.0,3.0,0.4,4.0,41.73,47.59
0.62,808.5,367.5,220.5,3.5,3.0,0.4,1.0,17.17,17.21
0.74,686.0,245.0,220.5,3.5,3.0,0.4,1.0,14.61,17.25
0.86,588.0,294.0,147.0,7.0,2.0,0.4,5.0,32.31,29.69
0.66,759.5,318.5,220.5,3.5,5.0,0.1,3.0,11.61,13.83
0.69,735.0,294.0,220.5,3.5,5.0,0.25,5.0,12.47,14.6
0.71,710.5,269.5,220.5,3.5,2.0,0.25,4.0,12.36,14.67
0.62,808.5,367.5,220.5,3.5,5.0,0.1,2.0,13.04,14.24
0.79,637.0,343.0,147.0,7.0,4.0,0.1,5.0,36.77,43.14
0.86,588.0,294.0,147.0,7.0,4.0,0.4,4.0,32.15,36.21
0.82,612.5,318.5,147.0,7.0,4.0,0.1,1.0,23.54,24.61
0.98,514.5,294.0,110.25,7.0,4.0,0.25,2.0,28.18,30.18
0.82,612.5,318.5,147.0,7.0,5.0,0.25,3.0,25.17,26.41
0.76,661.5,416.5,122.5,7.0,2.0,0.1,1.0,32.96,33.87
0.69,735.0,294.0,220.5,3.5,5.0,0.4,4.0,14.71,17.39
0.62,808.5,367.5,220.5,3.5,2.0,0.1,4.0,12.85,14.37
0.74,686.0,245.0,220.5,3.5,2.0,0.4,5.0,14.41,16.69
0.9,563.5,318.5,122.5,7.0,2.0,0.25,5.0,33.13,32.25
0.69,735.0,294.0,220.5,3.5,2.0,0.4,4.0,14.54,16.81
0.98,514.5,294.0,110.25,7.0,5.0,0.1,2.0,24.25,25.89
0.86,588.0,294.0,147.0,7.0,2.0,0.25,5.0,29.71,28.02
0.98,514.5,294.0,110.25,7.0,4.0,0.1,3.0,24.11,25.84
0.66,759.5,318.5,220.5,3.5,5.0,0.1,4.0,11.43,14.83
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,24.77,29.79
0.64,784.0,343.0,220.5,3.5,3.0,0.4,1.0,19.36,22.73
0.98,514.5,294.0,110.25,7.0,3.0,0.25,1.0,28.15,29.79
0.62,808.5,367.5,220.5,3.5,4.0,0.4,5.0,16.48,16.61
0.82,612.5,318.5,147.0,7.0,2.0,0.4,1.0,29.22,31.71
0.82,612.5,318.5,147.0,7.0,4.0,0.25,5.0,24.6,29.31
0.71,710.5,269.5,220.5,3.5,3.0,0.1,1.0,10.8,14.28
0.69,735.0,294.0,220.5,3.5,2.0,0.25,4.0,12.91,15.37
0.64,784.0,343.0,220.5,3.5,3.0,0.1,3.0,15.36,19.18
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,29.63,30.93
0.9,563.5,318.5,122.5,7.0,2.0,0.25,4.0,32.67,32.12
0.82,612.5,318.5,147.0,7.0,3.0,0.4,4.0,28.05,32.35
0.69,735.0,294.0,220.5,3.5,2.0,0.4,3.0,14.32,16.35
0.62,808.5,367.5,220.5,3.5,4.0,0.1,2.0,12.97,14.27
0.82,612.5,318.5,147.0,7.0,3.0,0.1,2.0,24.23,25.02
0.82,612.5,318.5,147.0,7.0,5.0,0.0,0.0,15.98,24.93
0.74,686.0,245.0,220.5,3.5,5.0,0.25,1.0,12.45,15.5
0.64,784.0,343.0,220.5,3.5,2.0,0.1,4.0,15.4,19.24
0.86,588.0,294.0,147.0,7.0,5.0,0.1,4.0,27.03,25.81
0.64,784.0,343.0,220.5,3.5,3.0,0.25,5.0,16.86,20.01
0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0,7.1,12.23
0.76,661.5,416.5,122.5,7.0,2.0,0.25,4.0,36.95,37.2
0.86,588.0,294.0,147.0,7.0,4.0,0.25,2.0,29.27,29.9
0.82,612.5,318.5,147.0,7.0,3.0,0.25,4.0,24.96,29.43
0.69,735.0,294.0,220.5,3.5,3.0,0.1,2.0,11.46,13.54
0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0,6.366,11.29
0.9,563.5,318.5,122.5,7.0,5.0,0.25,1.0,32.0,37.58
0.98,514.5,294.0,110.25,7.0,4.0,0.25,3.0,28.17,30.1
0.79,637.0,343.0,147.0,7.0,4.0,0.4,2.0,42.74,38.84
