27.82,79.74,1008.37,69.46,436.48
29.01,66.44,1011.21,71.56,430.61
20.61,63.86,1015.43,73.86,446.34
14.1,48.92,1011.6,84.39,461.34
23.7,64.45,1012.87,38.24,451.16
12.01,41.48,1017.75,66.67,469.08
24.94,62.96,1019.76,58.44,443.48
20.92,70.02,1010.23,95.58,444.64
22.21,69.71,1009.69,96.85,440.14
20.94,58.16,1016.88,65.43,455.16
33.62,77.17,1009.38,63.71,431.03
28.88,73.68,1015.25,47.73,432.93
11.73,37.92,1008.02,72.68,472.51
19.12,50.16,1011.52,99.71,451.49
8.69,41.04,1026.87,80.28,477.2
21.9,55.5,1018.85,60.27,456.52
15.29,41.35,1006.32,82.56,466.27
19.13,59.21,1018.32,89.66,450.81
10.63,37.5,1008.93,98.14,474.81
19.49,46.63,1013.11,88.01,451.31
11.28,42.44,1014.62,99.78,473.36
12.29,40.03,1017.62,89.64,472.65
6.75,39.37,1020.26,70.99,486.26
27.36,48.6,1003.18,54.93,436.06
18.6,43.56,1013.9,51.16,464.67
8.75,40.22,1008.96,90.53,482.8
8.79,40.67,1019.5,66.3,489.02
16.71,46.18,1011.61,95.82,459.4
24.27,60.23,1011.84,77.8,438.99
11.21,41.06,1021.75,77.0,474.03
26.91,65.34,1014.19,50.7,443.6
10.58,42.34,1022.32,94.01,474.91
12.42,40.24,1016.59,90.01,469.59
7.2,40.02,1031.71,69.89,480.53
26.68,63.73,1009.7,71.55,439.69
12.26,39.96,1011.79,79.06,470.87
25.71,58.59,1012.77,61.83,451.28
16.0,45.09,1014.31,60.02,458.46
20.84,65.06,1016.88,71.93,445.74
27.89,73.17,1009.85,64.22,432.83
10.22,39.96,1025.05,96.05,471.36
25.31,74.33,1015.04,79.88,436.21
13.7,45.64,1019.18,92.66,467.9
5.53,35.79,1011.19,94.01,484.64
14.26,42.32,1016.0,77.43,463.71
22.6,69.84,1006.37,79.59,435.13
21.12,49.15,1021.29,52.9,456.92
33.8,64.96,1004.88,49.37,427.28
22.93,63.13,1011.6,77.09,448.02
12.24,49.83,1007.9,94.28,466.83
21.9,63.13,1011.54,81.83,447.4
23.6,60.08,1017.51,63.02,451.97
28.01,44.89,1008.98,48.52,444.76
15.26,41.2,1016.0,76.06,467.98
20.87,57.19,1006.5,77.0,445.95
30.88,69.51,1011.48,46.58,433.14
23.39,63.21,1011.91,84.57,448.3
18.72,60.07,1015.81,70.55,454.35
