1.138,3.0,3258.532,1378.654,6610.752,9.119,9.119,533.368,288.0,555.754,1.214,0.998,6.575,1.019,6.86,0.172,1.0,0.981
3.144,9.0,8377.372,1386.747,7089.945,60.339,60.339,576.605,288.0,578.055,1.39,0.998,7.45,1.02,11.925,0.236,0.981,0.994
5.14,15.0,21637.076,1924.334,8501.756,175.311,175.311,716.0,288.0,642.0,2.076,0.998,11.056,1.026,25.521,0.505,0.955,0.988
1.138,3.0,2036.444,1400.134,6677.161,10.404,10.404,496.391,288.0,553.824,1.171,0.998,6.304,1.019,0.0,0.121,0.978,0.985
2.088,6.0,3475.506,1383.145,6797.594,29.361,29.361,513.88,288.0,561.173,1.225,0.998,6.605,1.02,0.0,0.14,0.976,0.984
4.161,12.0,14724.469,1547.47,7806.226,113.792,113.792,643.554,288.0,609.489,1.656,0.998,8.87,1.022,17.282,0.342,0.958,0.991
6.175,18.0,29783.48,2307.455,8814.875,246.157,246.157,780.805,288.0,669.678,2.506,0.998,13.283,1.03,34.647,0.686,0.97,0.983
5.14,15.0,21626.19,1924.309,8465.138,175.225,175.225,711.973,288.0,637.081,2.088,0.998,11.224,1.026,25.47,0.504,0.983,0.977
8.206,24.0,50992.35,3087.409,9294.463,437.986,437.986,909.065,288.0,724.818,3.604,0.998,18.594,1.042,59.552,1.179,0.999,0.985
6.175,18.0,29762.76,2306.847,8807.758,245.922,245.922,779.253,288.0,668.645,2.508,0.998,13.302,1.03,34.581,0.685,0.975,0.982
3.144,9.0,8377.303,1386.75,7096.631,60.327,60.327,577.913,288.0,578.688,1.39,0.998,7.449,1.02,11.974,0.237,0.978,0.994
6.175,18.0,29782.436,2307.421,8814.762,246.175,246.175,777.56,288.0,668.748,2.506,0.998,13.26,1.03,34.452,0.682,0.972,0.985
1.138,3.0,3643.127,1316.226,6627.524,5.593,5.593,557.885,288.0,556.655,1.213,0.998,6.517,1.019,30.206,0.22,0.989,0.996
6.175,18.0,29764.621,2306.838,8808.53,245.971,245.971,754.424,288.0,661.601,2.509,0.998,13.115,1.031,33.062,0.655,0.99,0.998
7.148,21.0,39011.902,2677.978,9113.164,332.513,332.513,821.227,288.0,685.693,2.991,0.998,15.756,1.036,43.996,0.871,0.994,0.979
5.14,15.0,21624.781,1924.309,8461.42,175.24,175.24,708.426,288.0,635.695,2.09,0.998,11.22,1.026,25.296,0.501,0.988,0.978
3.144,9.0,8377.834,1386.75,7095.469,60.343,60.343,582.832,288.0,580.12,1.39,0.998,7.476,1.02,12.174,0.241,0.974,0.99
2.088,6.0,3563.29,1384.639,6765.975,29.641,29.641,518.511,288.0,561.186,1.229,0.998,6.668,1.02,0.0,0.145,0.983,0.977
6.175,18.0,29762.752,2306.822,8794.235,246.038,246.038,753.716,288.0,660.138,2.514,0.998,13.188,1.031,33.097,0.655,1.0,0.994
6.175,18.0,29797.236,2307.228,8843.193,246.308,246.308,767.764,288.0,668.43,2.497,0.998,13.036,1.03,33.709,0.667,0.96,1.0
9.3,27.0,72761.81,3560.378,9746.853,644.78,644.78,1079.921,288.0,778.201,4.53,0.998,22.918,1.05,89.965,1.781,0.979,0.978
4.161,12.0,14718.356,1547.446,7712.929,113.738,113.738,641.295,288.0,605.095,1.665,0.998,9.016,1.023,17.286,0.342,0.988,0.978
4.161,12.0,14719.049,1547.449,7725.306,113.73,113.73,639.999,288.0,605.247,1.663,0.998,8.986,1.023,17.212,0.341,0.985,0.981
4.161,12.0,14719.51,1547.452,7734.835,113.755,113.755,634.34,288.0,604.076,1.662,0.998,8.932,1.023,16.941,0.335,0.986,0.987
2.088,6.0,4803.373,1394.318,6796.586,31.509,31.509,546.733,288.0,565.414,1.272,0.998,6.85,1.02,0.0,0.182,0.982,0.986
2.088,6.0,6946.862,1374.314,6811.873,27.815,27.815,599.127,288.0,570.802,1.331,0.998,7.123,1.02,9.993,0.261,0.984,0.999
1.138,3.0,955.733,1357.347,6641.16,7.904,7.904,468.218,288.0,547.381,1.124,0.998,6.056,1.019,5.801,0.093,0.98,0.984
9.3,27.0,72771.93,3560.408,9762.029,645.073,645.073,1075.79,288.0,778.3,4.511,0.998,22.586,1.05,89.188,1.766,0.974,0.989
1.138,3.0,1505.291,1384.605,6661.043,9.453,9.453,477.251,288.0,549.244,1.149,0.998,6.164,1.019,1.177,0.102,0.984,0.988
7.148,21.0,39001.57,2678.038,9118.767,332.413,332.413,830.692,288.0,689.756,2.983,0.998,15.73,1.036,44.53,0.882,0.981,0.978
8.206,24.0,50996.633,3087.572,9313.897,438.028,438.028,941.184,288.0,737.867,3.58,0.998,18.58,1.041,61.66,1.221,0.96,0.979
3.144,9.0,8373.845,1386.72,7013.616,60.284,60.284,585.982,288.0,578.065,1.394,0.998,7.595,1.02,12.347,0.244,0.994,0.975
1.138,3.0,4047.954,1309.381,6692.77,5.398,5.398,590.347,288.0,566.412,1.222,0.998,6.606,1.019,33.253,0.25,0.952,0.991
9.3,27.0,72767.85,3560.394,9738.301,645.036,645.036,1049.177,288.0,769.981,4.537,0.998,22.684,1.052,87.219,1.727,0.997,0.991
5.14,15.0,21637.133,1924.321,8498.309,175.281,175.281,724.447,288.0,644.03,2.077,0.998,11.131,1.026,25.985,0.514,0.952,0.981
8.206,24.0,50993.547,3087.482,9306.926,437.945,437.945,910.108,288.0,728.182,3.585,0.998,18.352,1.042,59.296,1.174,0.983,0.994
2.088,6.0,4221.659,1391.218,6810.471,30.901,30.901,531.291,288.0,563.879,1.252,0.998,6.734,1.02,0.0,0.163,0.977,0.988
9.3,27.0,72776.445,3560.392,9747.24,645.111,645.111,1042.618,288.0,768.97,4.526,0.998,22.438,1.052,86.368,1.71,0.996,1.0
2.088,6.0,4264.523,1344.289,6803.482,22.338,22.338,560.42,288.0,567.625,1.242,0.998,6.739,1.019,23.231,0.209,0.96,0.982
1.138,3.0,1552.291,1374.599,6644.748,8.812,8.812,471.228,288.0,545.966,1.149,0.998,6.133,1.019,2.417,0.1,0.997,0.995
