-2.4,0.568,4.34,2.98,3.15,0.2,0.69
-2.3,0.6,4.34,4.23,2.73,0.375,12.27
0.0,0.6,4.78,4.24,3.15,0.225,1.3
-5.0,0.6,4.78,4.24,3.15,0.125,0.06
0.0,0.53,4.78,3.75,3.15,0.3,3.7
0.0,0.565,5.1,3.94,3.51,0.375,14.24
-2.3,0.53,4.76,3.68,3.16,0.15,0.23
0.0,0.6,4.78,4.24,3.15,0.2,0.73
-5.0,0.53,4.78,3.75,3.15,0.325,5.07
-2.4,0.574,4.36,3.96,2.76,0.175,0.65
-2.3,0.53,4.76,3.68,3.16,0.275,2.28
-5.0,0.565,5.1,3.94,3.51,0.25,1.76
0.0,0.6,4.78,4.24,3.15,0.425,34.62
-2.3,0.6,4.34,4.23,2.73,0.4,19.59
-2.3,0.6,5.1,4.17,3.51,0.2,0.73
-2.3,0.6,4.34,4.23,2.73,0.2,0.64
-2.2,0.546,4.78,4.13,3.07,0.325,4.83
0.0,0.565,5.1,3.94,3.51,0.2,0.83
0.0,0.6,4.78,4.24,3.15,0.275,3.35
-2.3,0.569,4.78,3.04,3.64,0.225,1.06
-2.3,0.6,4.34,4.23,2.73,0.45,46.66
-2.3,0.568,4.78,3.99,3.17,0.4,20.11
-5.0,0.565,5.1,3.94,3.51,0.15,0.24
0.0,0.565,5.1,3.94,3.51,0.4,23.05
-2.3,0.53,4.34,2.81,3.15,0.3,2.73
-2.3,0.53,4.34,2.81,3.15,0.425,41.34
-2.4,0.585,4.78,3.84,3.32,0.175,0.64
-2.3,0.562,5.14,4.95,3.17,0.25,2.23
-2.2,0.546,4.78,4.13,3.07,0.25,1.76
-2.3,0.562,5.14,4.95,3.17,0.15,0.44
-2.3,0.568,4.78,3.99,3.17,0.425,32.75
