0.0,0.565,4.77,3.99,3.15,0.275,2.88
0.0,0.6,4.78,4.24,3.15,0.2,0.73
0.0,0.565,5.1,3.94,3.51,0.45,51.99
-2.3,0.53,4.76,3.68,3.16,0.175,0.47
-2.3,0.564,5.1,3.95,3.53,0.325,5.19
-2.4,0.585,4.78,3.84,3.32,0.325,5.79
-2.4,0.574,4.36,3.96,2.76,0.125,0.2
-5.0,0.565,5.1,3.94,3.51,0.125,0.08
-2.4,0.585,4.78,3.84,3.32,0.225,1.36
-2.3,0.565,4.78,5.35,2.76,0.25,1.99
-2.4,0.574,4.36,3.96,2.76,0.275,2.83
-2.3,0.53,5.11,3.69,3.51,0.225,1.11
0.0,0.565,4.77,3.99,3.15,0.325,5.96
-5.0,0.6,4.78,4.24,3.15,0.275,2.84
-2.3,0.564,5.1,3.95,3.53,0.25,1.97
-5.0,0.53,4.78,3.75,3.15,0.3,3.69
-2.3,0.564,5.1,3.95,3.53,0.275,2.83
-2.3,0.564,5.1,3.95,3.53,0.15,0.35
-5.0,0.53,4.78,3.75,3.15,0.25,1.85
-2.3,0.564,5.1,3.95,3.53,0.4,21.51
-5.0,0.565,4.77,3.99,3.15,0.35,7.87
-5.0,0.6,4.78,4.24,3.15,0.175,0.34
0.0,0.565,5.1,3.94,3.51,0.25,1.9
-2.3,0.53,4.76,3.68,3.16,0.2,0.76
-5.0,0.6,4.78,4.24,3.15,0.375,12.49
-2.3,0.562,5.14,4.95,3.17,0.425,32.34
-2.3,0.569,4.78,3.04,3.64,0.375,11.99
-2.3,0.53,4.34,2.81,3.15,0.45,62.42
-5.0,0.565,4.77,3.99,3.15,0.25,1.83
-2.4,0.574,4.36,3.96,2.76,0.375,12.86
-2.3,0.6,5.1,4.17,3.51,0.125,0.01
