-2.3,0.565,4.78,5.35,2.76,0.25,1.99
-2.3,0.6,4.34,4.23,2.73,0.275,2.63
-2.3,0.565,4.78,5.35,2.76,0.275,2.94
-2.3,0.53,4.76,3.68,3.16,0.425,37.38
-2.3,0.6,4.34,4.23,2.73,0.35,8.47
-2.3,0.569,4.78,3.04,3.64,0.225,1.06
-2.3,0.562,5.14,4.95,3.17,0.35,8.28
-2.3,0.562,5.14,4.95,3.17,0.3,4.09
-2.3,0.564,5.1,3.95,3.53,0.225,1.37
-5.0,0.6,4.78,4.24,3.15,0.125,0.06
-5.0,0.53,4.78,3.75,3.15,0.175,0.47
-2.4,0.574,4.36,3.96,2.76,0.325,5.19
-2.4,0.585,4.78,3.84,3.32,0.325,5.79
-2.3,0.569,4.78,3.04,3.64,0.125,0.04
-5.0,0.53,4.78,3.75,3.15,0.35,7.95
-2.3,0.6,5.1,4.17,3.51,0.325,6.31
-2.3,0.53,4.76,3.68,3.16,0.275,2.28
-2.3,0.568,4.78,3.99,3.17,0.45,49.49
-2.3,0.568,4.78,3.99,3.17,0.275,2.61
-2.2,0.546,4.78,4.13,3.07,0.4,21.99
-2.2,0.546,4.78,4.13,3.07,0.15,0.32
0.0,0.565,5.1,3.94,3.51,0.325,5.57
0.0,0.53,4.78,3.75,3.15,0.35,9.45
-2.3,0.53,5.11,3.69,3.51,0.175,0.46
-2.3,0.562,5.14,4.95,3.17,0.125,0.28
-2.3,0.564,5.1,3.95,3.53,0.15,0.35
-2.3,0.6,4.34,4.23,2.73,0.45,46.66
-2.3,0.569,4.78,3.04,3.64,0.375,11.99
-2.2,0.546,4.78,4.13,3.07,0.25,1.76
-2.3,0.564,5.1,3.95,3.53,0.2,0.93
-2.3,0.53,5.11,3.69,3.51,0.275,2.17
